param times: 0 1 2 3 4 5 6 7 8 9  :=	
0	0.0	1261.0	2474.0	732.0	1082.0	1822.0	1800.0	644.0	1430.0	1179.0	
1	1435.0	0.0	2286.0	731.0	1745.0	1932.0	1522.0	1140.0	2010.0	1686.0	
2	2565.0	2436.0	0.0	2391.0	1988.0	1389.0	1117.0	2224.0	1882.0	1739.0	
3	835.0	690.0	2105.0	0.0	1309.0	1790.0	1341.0	704.0	1601.0	1250.0	
4	1209.0	1589.0	2192.0	1406.0	0.0	1315.0	1759.0	782.0	1366.0	594.0	
5	1746.0	1904.0	1329.0	1720.0	1351.0	0.0	638.0	1883.0	587.0	1653.0	
6	1961.0	1624.0	1001.0	1579.0	1593.0	622.0	0.0	1606.0	1115.0	1404.0	
7	712.0	1103.0	2292.0	921.0	820.0	1813.0	1634.0	0.0	1488.0	978.0	
8	1494.0	1931.0	2083.0	1600.0	1643.0	882.0	1319.0	1545.0	0.0	2060.0	
9	1411.0	1586.0	1987.0	1404.0	593.0	1785.0	1642.0	903.0	1836.0	0.0	
;

param distances: 0 1 2 3 4 5 6 7 8 9  :=	
0	0.0	10100.0	40162.0	5950.0	6603.0	10209.0	32462.0	4157.0	7776.0	17266.0	
1	11075.0	0.0	31858.0	4853.0	17308.0	28227.0	24124.0	13101.0	12744.0	24479.0	
2	39767.0	34812.0	0.0	37293.0	24651.0	13431.0	9753.0	35639.0	15627.0	27662.0	
3	6738.0	4510.0	34232.0	0.0	14005.0	12628.0	26498.0	9797.0	11222.0	21176.0	
4	7272.0	15973.0	26747.0	14894.0	0.0	8079.0	11618.0	5131.0	7120.0	3849.0	
5	10274.0	25319.0	12425.0	12539.0	8086.0	0.0	4668.0	12010.0	2641.0	22318.0	
6	34321.0	26829.0	9198.0	29309.0	10806.0	4754.0	0.0	32184.0	6950.0	29236.0	
7	5267.0	12013.0	36918.0	10934.0	5342.0	11707.0	31499.0	0.0	9110.0	7429.0	
8	8075.0	13866.0	17829.0	11434.0	7743.0	4254.0	10095.0	8821.0	0.0	10225.0	
9	18091.0	23214.0	29834.0	22136.0	3470.0	10922.0	30685.0	6967.0	9962.0	0.0	
;

